"ACCOUNT_NUMBER","CARD_NUMBER","ACCOUNT_TYPE","CARD_TYPE","CARD_PROGRAM","CARD_STATUS","DATE_OPENED"
"0000356360               ","521372******0186","checking","Debit","521372","Active","4/23/2024"
"0000358283               ","521372******6671","checking","Debit","521372","Active","1/18/2024"
"0000370346               ","417763******5019","checking","Debit","417763","Active","1/24/2025"
"0000540559               ","521372******7226","checking","Debit","521372","Active","6/4/2025"
"0000776955               ","521372******8700","checking","Debit","521372","Active","5/5/2025"
"0000985788               ","521372******5258","checking","Debit","521372","Active","11/11/2025"
"0001038470               ","521372******1949","checking","Debit","521372","Active","5/6/2024"
"0001394972               ","521372******8158","checking","Debit","521372","Active","9/10/2018"
"0001411362               ","521372******8840","checking","Debit","521372","Active","2/18/2024"
"0001459809               ","521372******9068","checking","Debit","521372","Blocked","5/21/2024"
"0001703057               ","521372******1568","checking","Debit","521372","Active","10/3/2024"
"0001742840               ","521372******5184","checking","Debit","521372","Active","7/9/2025"
"0001822162               ","521372******3929","checking","Debit","521372","Active","3/13/2018"
"0002018141               ","521372******4776","checking","Debit","521372","Active","6/19/2024"
"0002454577               ","521372******2524","checking","Debit","521372","Active","2/27/2019"
"0002729085               ","521372******8690","checking","Debit","521372","Active","3/31/2024"
"0002820454               ","521372******9282","checking","Debit","521372","Active","5/15/2024"
"0002918381               ","417763******9302","checking","Debit","417763","Active","9/26/2024"
"0003587011               ","521372******9215","checking","Debit","521372","Active","10/29/2025"
"0003650017               ","521372******8069","checking","Debit","521372","Active","8/26/2025"
"0003795994               ","417763******6316","checking","Debit","417763","Active","12/22/2024"
"0003901162               ","521372******3457","checking","Debit","521372","Active","9/21/2024"
"0004224705               ","417763******2644","checking","Debit","417763","Blocked","7/13/2026"
"0004334249               ","521372******5936","checking","Debit","521372","Active","8/17/2025"
"0004643847               ","417763******1239","checking","Debit","417763","Blocked","7/15/2026"
"0004700159               ","521372******6045","checking","Debit","521372","Active","4/28/2025"
"0005269303               ","521372******4863","checking","Debit","521372","Active","3/29/2024"
"0006115141               ","521372******6752","checking","Debit","521372","Active","9/2/2025"
"0006135495               ","521372******9206","checking","Debit","521372","Active","1/21/2026"
"0006560478               ","521372******4241","checking","Debit","521372","Active","9/27/2018"
"0007662398               ","521372******5513","checking","Debit","521372","Active","3/26/2025"
"0007965338               ","521372******1571","checking","Debit","521372","Active","9/6/2025"
"0007997844               ","521372******8192","checking","Debit","521372","Active","3/30/2024"
"0008615288               ","417763******7676","checking","Debit","417763","Active","2/1/2025"
"0008855629               ","417763******2787","checking","Debit","417763","Active","10/10/2025"
"0009295031               ","521372******5942","checking","Debit","521372","Active","8/1/2024"
"0009384652               ","521372******6883","checking","Debit","521372","Active","3/13/2025"
"0009572439               ","417763******8515","checking","Debit","417763","Active","2/15/2025"
"0009613639               ","521372******7236","checking","Debit","521372","Active","12/3/2025"
"0010066942               ","521372******6380","checking","Debit","521372","Active","12/24/2019"
"0010134401               ","521372******6308","checking","Debit","521372","Blocked","10/2/2018"
"0010238657               ","521372******4170","checking","Debit","521372","Active","5/13/2024"
"0010620409               ","417763******6926","checking","Debit","417763","Active","1/30/2025"
"0010656544               ","417763******6830","checking","Debit","417763","Active","1/22/2025"
"0010753622               ","521372******0599","checking","Debit","521372","Active","7/7/2024"
"0011449808               ","521372******7901","checking","Debit","521372","Active","2/26/2024"
"0011625381               ","521372******2976","checking","Debit","521372","Active","8/8/2019"
"0011685716               ","521372******5728","checking","Debit","521372","Active","10/5/2025"
"0011857638               ","521372******8922","checking","Debit","521372","Active","1/20/2024"
"0012333811               ","417763******1193","checking","Debit","417763","Active","2/15/2025"
"0012895744               ","521372******1388","checking","Debit","521372","Active","3/6/2019"
"0013026786               ","521372******8908","checking","Debit","521372","Active","10/24/2024"
"0013151022               ","521372******4195","checking","Debit","521372","Active","8/7/2025"
"0013586995               ","521372******7070","checking","Debit","521372","Active","3/27/2024"
"0014093835               ","521372******3215","checking","Debit","521372","Active","1/30/2024"
